index,source,target,edge
953,little winsor nemo,detailed  drawings,showcased
954,el apóstol,cutout  animation,was
955,terrytoons,tom terrific,released
956,animation market,2008,was worth
957,today  drawings,directly computer system,scanned into
958,3d animation,digitally  animator,modeled
960,traits,live  action,are
961,list,awardees,is
962,area,jubilee hills,consists of
963,mmts train station,hitec  city,is at hitec
964,film roll,film cameras,exposed before
965,where  film,advantages,are
966,film,different cost emphases,have different
967,digital  cameras,more film equivalents,are
968,prices,intense  competition,dropping
969,film,italian giacomo ciarrapico,is
970,it,television series boris,based on
971,schwarzenegger,later  role,confirmed
972,story,miller,drafted
974,she,harder  anybody,worked
975,special effects supervisor neil,set  piece,created
976,schwarzenegger,october,completed
977,certain  scenes,rated  violence,filmed
978,it,misogynistic internet comments,was
979,theatrical  trailers,august,released on
980,game,september,released on
981,t-800 model,mortal  kombat,be
982,schwarzenegger,later  role,confirmed
983,story,miller,drafted
985,she,harder  anybody,worked
986,special effects supervisor neil,set  piece,created
987,schwarzenegger,october,completed
988,certain  scenes,rated  violence,filmed
989,it,misogynistic internet comments,was
990,theatrical  trailers,august,released on
991,game,september,released on
992,t-800 model,mortal  kombat,be
993,suspense,important plot element,maintained as
994,mystery films,mainly  crime,focus with
995,women,films,are
996,earliest mystery films,silent  era,reach
997,film,more  1953,remade
998,two  films,now  1909,made in
999,story,again  1993,remade
1001,silent charlie chan films,now  1920s,produced in
1002,monogram,oriental  detective,responded by
1003,last  film,1937,released in
1004,canary murder case,william vance,called
1005,breezy comedy that,thin man formula,bradford
1006,standard dark house that,standard dark house formula,were
1007,film,entirely  viewpoint,filmed
1008,columbia,serial chick detective,produced
1009,mysterious  he,mysterious  intruder,was
1010,character,real life brother,killed
1011,this,french exile rené clair,made into
1012,premise,old genre horror films,used countless
1014,where  you,them,are
1015,bride,françois truffaut,wore black
1016,film,detective genre,is
1017,george peppard,private  p.j,is
1018,robert culp,downbeat bill hickey,are hard
1020,films,female  detectives,fared
1021,serial  killings,alphabet killer,portrayed in
1025,lena,german  embassy,killed
1026,two certificate awards,national film awards,discontinued from 15th
1027,award,rajat kamal,includes
1028,i,anything,play
1029,western  theatre,considerably  romans,developed
1030,dell'arte,little  scenery,was
1031,plays,stock characters,utilised
1032,puritans,theatre,viewed
1033,restoration comedy,sexual  explicitness,is notorious
1034,henry irving,british actor managers,was
1035,larger  capital,major  city,required
1036,only  men,formerly  societies,become
1038,most  scripts,blocking,specify
1039,actors,hand,have
1040,silent film acting,modern day audiences,is apt
1041,vaudeville theatre,silent film actors,was
1042,film actors,mark,need
1043,film actors,well screen tests,need
1044,tv actors,lav mics,need
1045,first,series,known as
1046,it,1940s,was
1047,audio  drama,produced  cds,found on
1048,i,anything,play
1049,western  theatre,considerably  romans,developed
1050,dell'arte,little  scenery,was
1051,plays,stock characters,utilised
1052,puritans,theatre,viewed
1053,restoration comedy,sexual  explicitness,is notorious
1054,henry irving,british actor managers,was
1055,larger  capital,major  city,required
1056,only  men,formerly  societies,become
1058,most  scripts,blocking,specify
1059,actors,hand,have
1060,silent film acting,modern day audiences,is apt
1061,vaudeville theatre,silent film actors,was
1062,film actors,mark,need
1063,film actors,well screen tests,need
1064,tv actors,lav mics,need
1065,first,series,known as
1066,it,1940s,was
1067,audio  drama,produced  cds,found on
1068,sometimes  copy,lost  film,rediscovered
1069,destruction,cases,was proactive
1070,nitrate  film,deteriorated  condition,combust
1071,high profile example,theda bara,is
1072,35 mm safety film,1949,introduced in
1073,occasionally  prints,films,rediscovered
1074,film,premiere  version,restored
1075,television material,film,recovered
1076,it,since  television,shown on
1077,popular film sizes,consumer snapshots,size
1078,instant film formats,typically  100,have
1079,process,film type,varies according
1080,h. land,polaroid land process,introduced
1081,film speeds,film density,were
1082,it,1963,introduced in
1083,it,1972,introduced in
1084,polavision film,market,taken
1085,it,1983,introduced in
1086,polaroid,instant  film,produces instant
1087,polaroid pif-300 film,mini fuji film,rebranded
1088,original  plan,instant  products,was
1090,formulation,improved  films,supplanted by
1091,mystery drama series,ensemble  cast,features
1092,mystery drama series,ensemble  cast,features
1094,khan,screenwriter salim khan,is
1095,he,st,attended
1096,college,mumbai,dropped
1097,he,1995,starred in
1098,played  who,family enemies,brothers
1099,he,unconventional  performance,given
1100,film,mixed  reviews,received mixed
1101,first  release,2010,was
1102,it,later  tamil,remade in
1103,film,brother,produced by
1104,first  release,2011,was ready
1105,skbh productions,next mahesh manjrekar,shikshanachya
1106,first  film,banner,was
1107,cabbie,grossing  canada,became
1108,2008  khan,10 ka dum,hosted
1110,khan,also bigg boss,hosted
1111,later akshay kumar,khan,replaced
1112,khan,also detergent brand wheel,is
1113,tiger biscuits,latest  salman,is
1114,he,also  ranbaxy,is
1115,salman,loyal bodyguard son,decided
1116,foundation,two focus areas,has
1117,youngster,bhaijaan star khan,wished
1118,khan,galaxy apartments,resides in
1119,khan,dating actress katrina kaif,started
1120,2013  he,august,declared
1121,court,fast  case,refused
1122,then  they,it,got
1124,khan,screenwriter salim khan,is
1125,he,st,attended
1126,college,mumbai,dropped
1127,he,1995,starred in
1128,played  who,family enemies,brothers
1129,he,unconventional  performance,given
1130,film,mixed  reviews,received mixed
1131,first  release,2010,was
1132,it,later  tamil,remade in
1133,film,brother,produced by
1134,first  release,2011,was ready
1135,skbh productions,next mahesh manjrekar,shikshanachya
1136,first  film,banner,was
1137,cabbie,grossing  canada,became
1138,2008  khan,10 ka dum,hosted
1140,khan,also bigg boss,hosted
1141,later akshay kumar,khan,replaced
1142,khan,also detergent brand wheel,is
1143,tiger biscuits,latest  salman,is
1144,he,also  ranbaxy,is
1145,salman,loyal bodyguard son,decided
1146,foundation,two focus areas,has
1147,youngster,bhaijaan star khan,wished
1148,khan,galaxy apartments,resides in
1149,khan,dating actress katrina kaif,started
1150,2013  he,august,declared
1151,court,fast  case,refused
1152,then  they,it,got
1153,writer joanna hogg,2007 actor tom film,worked
1154,mehra,music,composed
1155,baby noor jehan,time  actress,introduced as
1156,principal  photography,december,began in
1157,only call ladies,finally call centre,pleads
1158,karamveer,unsolicited  requests,frustrated with such
1159,everyone,more  puja,backfires
1160,this,further  backfires,move
1162,nushrat bharucha,him,cast opposite
1163,principal  photography,december,began in
1164,film,13  september,released
1166,gorilla,heist don sandy,is
1167,music,sam c.,composed by
1168,editing,anthony l. ruben,done by
1169,c. s.,yugabharathi,penned by
1170,film reference library,1990,opened in
1171,umbrella organization tiffg,tiff,renamed to
1172,five storey facility,five  cinemas,contains
1173,films,december,announced in
1174,major  prize,feature length film,given
1175,choice awards,documentary midnight films,presented for
1176,it,different  angle,rewritten with
1177,film,production,titled
1178,pk,19  december,released on
1179,criticism,hindu  sentiment,focused on
1180,he,cassette recorder,manages
1181,jaggu,india,returns to
1182,people,dressing,know
1184,tapasvi,remote,forced
1185,eventually  they,film,decided
1186,second motion poster,20  august,released on
1187,third motion poster,15  september,released on
1188,teaser,film,attached with
1189,character,film,speaks
1190,he,mitha banarasi paan,enjoyed
1191,game,feature phones,developed for
1192,it,google play,launched on
1193,pk,6  june,scheduled
1194,director,more time editing,wanted
1195,besides  portions,sanjay  dutt,were
1196,hence  makers,december release,settled for
1197,pk,4844  screens,released in
1198,pk,uttar  pradesh,made
1199,music rights,₹ 150 million,sold for
1200,dna,first  rentrak,reported
1201,full  soundtrack,17  november,released on
1202,song tharki chokro,8  november,is
1203,rajkumar hirani,doubt,is without
1204,it,international  markets,became
1205,it,grossing  2014,was
1206,pk,indian  gross,was
1207,film,chiranjeevi,narrated by
1208,soundtrack  score,ilaiyaraaja,composed by
1209,rudrama,then  manner,brought
1210,they,devagiri  empire,repel
1211,later allu arjun,eventually  role,selected
1212,neeta lulla,costumes,designed
1213,official  trailer,march,released in
1214,worldwide  gross,35 86.92 days,was
1215,malayalam version,tamil,soundtrack for
1216,aadujeevitham,indian survival drama blessy,is
1217,original  score,a. r. rahman,mohanan
1218,film score,a. r. rahman,composed by
1219,sonoko,fellow art student,falls for
1220,relationship,partners,develops
1221,transparency,2010 raul inglis,is
1222,camera rig,producer,was
1224,even lippert shorts,dual strip format,were available
1225,james mage,early 3d craze,was
1226,five  he,five  that,shorts
1227,project,3 d rko,was
1228,one  film,notoriety,was
1229,it,70 mm 3d,released in
1230,which,two  films,experience
1232,expo,egyptian  theatre,held at
1233,lost shorts carmenesque,country,shown
1234,this,many  ways,is problematic
1235,real  option,new stereoscopic cameras,is
1236,it,existing 3d camera system,was
1237,digital cinema cameras,3d,are
1238,several  films,3d backgrounds,used
1239,one  exception,orin,is starchaser
1240,polar  express,2004,was
1241,3d version,imax  theaters,was
1242,other animation films,solely  3d,released
1243,different 2d techniques,other 2d films,employed
1244,this,visual  effects,lead to strange
1245,3d films,special  presentations,converted to
1246,stereoscopic  pictures,around  1936,been
1247,linear  polarization,likewise level stereo projectors,used with
1248,screen image,result,is darker
1249,this,nvidia,is
1250,3d system,projection filters,contains
1251,cyan anaglyph glasses,thin film coatings,use complex
1252,rod,passive  lidar,act as
1253,versions,2 d glasses,marketed
1254,brightness cinema standard,196 smpte m.,is
1255,it,extended  universe,is
1256,team,laboratory,destroys
1257,she,confidence,lose
1258,she,confidence,have
1259,she,human  heart,has
1260,it,own wonder woman,was
1261,grown  you,grown  woman,different to
1262,gadot,three picture deal,signed
1263,he,picture  deal,signed
1264,it,ever warner bros,was
1265,it,rated superhero site,is
1266,jenkins,1918 era london,make
1267,gas,war,intended
1268,david,popular  mechanics,said
1269,she,gender boundaries,has
1270,everyone,her,is equal
1271,reaction,debate,was mixed
1272,it,day,'s up
1273,others,more  critique,were
1274,female  motivations,motherhood,'s
1275,it,female  character,'s
1276,you,them,speak for
1278,beyoncé,ali 2011,obsessed
1279,2015 dylan o'brien,smaug,hobbit
1280,it,blockbuster  lgbtq,is
1281,there  jason,kimberly,leaves
1282,so  they,morphing grid,unlock
1284,ashley miller,zack script,hired
1285,brian tyler,music,brought
1286,dacre montgomery,then rj jason,cast as
1287,2016  filming,may,was complete
1288,additional  filming,october,occurred in
1289,music,brian tyler,composed by
1290,international  trailer,december,released on
1291,they,ant  man,watch ant
1292,franchise,as  future,remains
1293,festival,world,continues
1295,five  films,honorable  mentions,received honorable
1296,additionally  festival,german film 1940,renamed
1298,this,best  actor,awarded to best
1299,it,1921  novel,based on
1301,thomas newman,score,provided
1302,film,christian  mysticism,interpreted as
1303,warden,former president richard nixon,compared to former
1304,smith,washington,goes to
1305,director founder rob reiner,also  script,liked
1306,freeman,additional  takes,refused
1307,scenes,also  mansfield,filmed in
1308,score,thomas newman,composed by
1309,shawshank redemption,positive  reviews,opened to
1310,it,category,win in
1311,darabont,other king stories,adapted
1312,25th  anniversary,similarly  august,celebrated in
1313,guests,darabont,included
1315,thomas newman,score,provided
1316,film,christian  mysticism,interpreted as
1317,warden,former president richard nixon,compared to former
1318,smith,washington,goes to
1319,director founder rob reiner,also  script,liked
1320,freeman,additional  takes,refused
1321,scenes,also  mansfield,filmed in
1322,score,thomas newman,composed by
1323,shawshank redemption,positive  reviews,opened to
1324,it,category,win in
1325,darabont,other king stories,adapted
1326,25th  anniversary,similarly  august,celebrated in
1327,guests,darabont,included
1329,film,1972 song rocket man,titled after
1330,principal  photography,august,began in
1331,he,john reid,approached by
1332,he,mother,falls
1333,however  project,two  decades,languished for
1334,lee hall,screenplay,set
1335,filming,initially  autumn,planned
1336,production,2  august,began on
1337,film,samoa,banned from
1338,he,difficult family life,went through
1339,sex,danger zone,is like
1340,rrr,indian period action s.,is
1341,film,30  july,scheduled
1342,away  adelaide,away  cries,drawn
1343,meanwhile tyler family,tethered,murdered by
1344,you,that,forget
1345,we,less  fortunate,need
1346,official  trailer,december,released on
1347,4k release,2k master,is
1348,blackhat,techno michael mann,is
1350,hack,nsa,go unnoticed
1351,lien,barely  subway,escape into
1352,they,henchmen,bring
1353,film,digital  cameras,be
1354,digital miami mann,35  mm,employed
1355,mike dean,additional  music,contributed additional
1357,it,may,premiered on
1358,currently  cut,tnt,seen on
1359,sigma,film production glasgow,is
1360,red  road,palme,played in
1361,gillian,second jamie bell,was
1362,film,aneurin barnard,stars
1364,i,luci,love
1365,transformers,american transformers toy line,is
1366,don murphy,g.i,planning
1367,prime  directive,working  title,used as
1368,this,comic  book,was
1369,rendered  piece,real  metal,had
1370,photographs,set,taken of
1371,allspark,own  theme,has
1372,hans zimmer,also  score,helped
1373,second  revenge,fallen,film
1374,third  film,dark  moon,released
1375,all,critical  reviews,received negative
1376,it,rated transformers series,is
1377,it,extended  universe,is
1378,main  cast,2016,confirmed through
1380,he,cause,swears
1381,orm,upper  hand,gains
1382,mera,him,rescues
1383,temuera morrison,tom curry,appears as
1384,robert ben garant,screenplay,with
1385,2018 randall park,dr,cast as
1386,two winner charles gibson,visual effects supervisors,served as overall
1387,ilm,lead vfx atlantis,was
1388,underwater  ships,organic  creatures,modeled off organic
1389,ilm,670  shots,delivered
1390,they,dead island environment,worked on
1391,dinosaurs,keyframe  animation,animated
1392,digital  domain,19 20 19 shots,delivered
1393,scanline vfx,450  shots,delivered
1394,bryan hirota,vfx supervisor,served as
1395,additional  house,sound dock stages,built on sound
1396,it,classic  rivalry,is
1397,month character posters,aquaman,released for
1398,aquaman,philippines,is
1399,aquaman,all  spectacle,wrote
1400,it,ambition,filled with
1401,2018  it,december,reported that
1403,studio,sequel,had
1404,tinged spin off,development,announced
1405,it,open united kingdom,is
1406,he,also  films,influenced by
1407,duellists,commercial  impact,had
1408,2002  cut,original  score,restored
1409,next  project,1492  paradise,was
1410,jane,scott free banner,produced under
1411,historical drama gladiator,critical  successes,proved
1412,film,mixed  reviews,was
1413,film,10  november,released on
1414,sequel,6 blade october,released on
1415,kevin spacey,originally getty sr,portrayed
1416,i,questions,think
1417,who,it,is behind
1418,it,open united kingdom,is
1419,he,also  films,influenced by
1420,duellists,commercial  impact,had
1421,2002  cut,original  score,restored
1422,next  project,1492  paradise,was
1423,jane,scott free banner,produced under
1424,historical drama gladiator,critical  successes,proved
1425,film,mixed  reviews,was
1426,film,10  november,released on
1427,sequel,6 blade october,released on
1428,kevin spacey,originally getty sr,portrayed
1429,i,questions,think
1430,who,it,is behind
1431,biographical sports drama,bhushan kumar,produced by
1432,this,2016 marathi film sairat,is akash
1433,film,31  august,wrapped
1434,release date,13  december,postponed to
1435,soundtrack,jerome pushparaj,composed by
1436,regular  contributors,critics catherine bray,included
1437,industry,language,segmented by
1438,south indian film industry,five film cultures,encompasses
1440,global  audiences,soon film industry,became aware
1441,tollygunge,indian film industry,was
1442,1940  film,indian movie world,is
1443,film,y.,directed by
1444,movement,social  realism,emphasized social
1445,javed  concoction,first masala film,identified as
1447,biggest bollywood movie stars,1990s,been
1448,they,grossing bollywood films,starred in
1449,hindi  stars,anil kapoor,include
1452,tamil language films,multiple film festivals,appeared at multiple
1453,kannathil muthamittal kannathil kanchivaram,toronto international film festival,veyyil
1454,nayakan,best movies list,included in
1455,indian  films,fora  festivals,appeared in international
1456,indian  cinema,repeatedly academy awards,recognised
1457,films,apu trilogy,include
1458,this,1930s,done in
1459,typical  film,choreographed  songs,feature
1460,location shooting,often budget considerations,motivated by
1461,popular  locations,regional  industry,are
1462,avm productions,surviving  india,is
1463,21st  century,assamese  movies,produced
1464,bengal,science films,produced
1465,other art film directors,sandip buddhadeb ray,include
1466,bhojpuri film history,maiyya tohe piyari,begins with
1467,few  films,following  decades,produced
1468,many film directors,silent  films,were
1469,they,mostly  mumbai,located in
1470,major gujarati directors,period,worked during
1471,art film directors,kaul,include
1472,kannada actor rajkumar,veeranna,began
1473,he,then  subhadra,produced
1474,veeranna,wife,was
1475,rajkumar,legendary  vishnuvardhan,was
1476,kannada directors,h.,include
1477,noted film personalities,kannada,are
1479,kannada cinema,parallel  cinema,contributed to indian
1481,konkani language films,mainly  goa,produced in
1482,release date,konkani film day,celebrated as konkani
1483,malayalam film industry,fourth  kochi,based in
1484,filmmakers,gopalakrishnan,include
1486,movie,social drama feature film,credited as
1487,daniel,malayalam film industry,considered
1489,meitei cinema,1980s,started in
1490,son,manipur,was
1491,which,dhananjay nath tiwari,nagpur
1492,language film industry,bhubaneswar,operates in
1493,talkie sita bibaha,sunder deb goswami,came from
1494,mehra,first punjabi film,made
1495,manny  parmar,first 3d punjabi film,made
1496,kalidas,tamil,shot in
1497,avm studios,surviving  india,is
1498,kamal haasan,1960,debuted in
1499,largest  3d,screen,is
1500,chittor,nagaiah,was
1501,he,paul muni,became
1503,40  films,annually  tulu,made
1504,tailor nath pandeshwar,icons,are
1505,enna thangadi,1971,was
1506,oriyardori asal,2011,is
1507,some,prominent  ones,include
1508,industry,language,segmented by
1509,south indian film industry,five film cultures,encompasses
1511,global  audiences,soon film industry,became aware
1512,tollygunge,indian film industry,was
1513,1940  film,indian movie world,is
1514,film,y.,directed by
1515,movement,social  realism,emphasized social
1516,javed  concoction,first masala film,identified as
1518,biggest bollywood movie stars,1990s,been
1519,they,grossing bollywood films,starred in
1520,hindi  stars,anil kapoor,include
1523,tamil language films,multiple film festivals,appeared at multiple
1524,kannathil muthamittal kannathil kanchivaram,toronto international film festival,veyyil
1525,nayakan,best movies list,included in
1526,indian  films,fora  festivals,appeared in international
1527,indian  cinema,repeatedly academy awards,recognised
1528,films,apu trilogy,include
1529,this,1930s,done in
1530,typical  film,choreographed  songs,feature
1531,location shooting,often budget considerations,motivated by
1532,popular  locations,regional  industry,are
1533,avm productions,surviving  india,is
1534,21st  century,assamese  movies,produced
1535,bengal,science films,produced
1536,other art film directors,sandip buddhadeb ray,include
1537,bhojpuri film history,maiyya tohe piyari,begins with
1538,few  films,following  decades,produced
1539,many film directors,silent  films,were
1540,they,mostly  mumbai,located in
1541,major gujarati directors,period,worked during
1542,art film directors,kaul,include
1543,kannada actor rajkumar,veeranna,began
1544,he,then  subhadra,produced
1545,veeranna,wife,was
1546,rajkumar,legendary  vishnuvardhan,was
1547,kannada directors,h.,include
1548,noted film personalities,kannada,are
1550,kannada cinema,parallel  cinema,contributed to indian
1552,konkani language films,mainly  goa,produced in
1553,release date,konkani film day,celebrated as konkani
1554,malayalam film industry,fourth  kochi,based in
1555,filmmakers,gopalakrishnan,include
1557,movie,social drama feature film,credited as
1558,daniel,malayalam film industry,considered
1560,meitei cinema,1980s,started in
1561,son,manipur,was
1562,which,dhananjay nath tiwari,nagpur
1563,language film industry,bhubaneswar,operates in
1564,talkie sita bibaha,sunder deb goswami,came from
1565,mehra,first punjabi film,made
1566,manny  parmar,first 3d punjabi film,made
1567,kalidas,tamil,shot in
1568,avm studios,surviving  india,is
1569,kamal haasan,1960,debuted in
1570,largest  3d,screen,is
1571,chittor,nagaiah,was
1572,he,paul muni,became
1574,40  films,annually  tulu,made
1575,tailor nath pandeshwar,icons,are
1576,enna thangadi,1971,was
1577,oriyardori asal,2011,is
1578,some,prominent  ones,include
1579,where  films,centers,are
1580,only walt disney which,walt disney studios,company
1582,nestor studios,27 film october,was
1583,it,then david horsley,owned
1584,still  life,international film festival,was
1585,remaining majority portion,northern  india,spread across northern
1586,indian film industry,1000  films,produces more
1587,1940s,egyptian  cinema,considered
1588,korean  films,communist,tend
1589,hong kong,speaking  world,is
1590,cinema going,comparatively  turkey,is
1591,industry,early film 1970s,been
1592,word,words,is
1593,first production company,1913,opened
1594,full length film,last  1931,released in
1595,minimum  cost,foreign  film,was
1596,screenplay,trinidadian  playwright,written by
1597,god,fighter,released
1598,it,nepali  ',referred to
1599,it,eighty  minutes,ran
1600,griffith,nation,'s
1601,it,also a&m records,owned by
1602,it,currently jim henson muppets,is
1603,los cultural heritage board,studio,named
1605,several  sign,several  years,left
1606,tickets,250  attendance,were usd
1607,bollywood,hindi language film mumbai,is
1608,bollywood,formally hindi cinema,referred to
1610,huge  bollywood,quickly film filming,switched
1611,however  colour,late  1950s,become
1612,film,surti,edited by
1613,mohanan,photography,was
1614,critics,writing,highlighted
1615,akash,musical  piece,attempting
1616,pramod,simi,is married
1617,simi,mrs presence,kills
1618,she,him,drugs
1620,khurrana,street,made
1621,tabu,first  simi,was
1622,it,viacom18 motion pictures,produced by
1623,lyrics,jaideep sahni,written by
1624,vocals,trivedi,provided by
1625,background score,daniel b. george,composed by
1626,trailer,2  september,released on
1627,chief,them,is
1628,film,10.37  crore,did
1629,prashanth,role,reprising
1630,film,surti,edited by
1631,mohanan,photography,was
1632,critics,writing,highlighted
1633,akash,musical  piece,attempting
1634,pramod,simi,is married
1635,simi,mrs presence,kills
1636,she,him,drugs
1638,khurrana,street,made
1639,tabu,first  simi,was
1640,it,viacom18 motion pictures,produced by
1641,lyrics,jaideep sahni,written by
1642,vocals,trivedi,provided by
1643,background score,daniel b. george,composed by
1644,trailer,2  september,released on
1645,chief,them,is
1646,film,10.37  crore,did
1647,prashanth,role,reprising
1648,film genre,conventions,associated with
1649,popular  combinations,romantic  comedy,include
1650,alan williams,main genre categories,distinguishes
1651,mood,emotional  film,is
1652,many  films,multiple  genres,cross into multiple
1654,cinema technologies,genres,associated with
1655,production attributes,low budget film,considered
1656,pattern,western  film,seen with
1657,hollywood oligopoly,edison monopoly,replaced
1658,producer joseph schenck,president,hired as
1659,later  members,william cagney,included
1660,low budget films,commercial art ventures,existed as non
1661,cannibal  holocaust,envelope,continued
1662,he,eventually  this,went bankrupt
1663,independent cinema movement,festival,launched
1664,domestic box office revenue,independent  studios,was from independent
1665,superior  products,major studio producer distributors,were
1666,these,united artists,include
1667,3 d technology,low  budget,is available
1668,petróleo,mexican fernando de fuentes,is
1669,2003  festival,"300,000  people",brought more
1670,noire,first tribeca film festival,became
1671,it,arzén von cserépy,founded by
1672,that,public  derision,move
1673,it,wall street journal,reviewed by
1674,term,bombay,is
1676,however  colour,late  1950s,become
1677,romantic  musicals,time,were cinematic
1678,playback singers,rafi,mohammed
1679,masala films,biggest bollywood period,bachchan
1680,popular  films,decade,were
1683,songs,three hour show,combined in
1684,parallel cinema films,less box office,tended
1687,song  lyrics,different  people,written by different
1688,film scripts,first latin script,written in
1689,cinematic  language,often  god,is
1690,song lyrics,often  love,are
1691,bollywood songs,ardeshir alam ara song,introduced with ardeshir
1692,contemporary bollywood dancers,madhuri dixit,include
1693,older  dancers,helen,include
1694,consumer copying,problem,adds to
1695,popular  tune,audiences,believed
1696,bollywood,other  products,used
1697,dual voting system,1956,developed in
1698,national film awards,also  1954,introduced in
1699,many  pakistanis,linguistic  similarity,understand
1700,more  easing,2009,followed in
1701,popular  actors,shah rukh khan,include
1702,films,fairly  thailand,are
1703,bollywood films,widely  china,appreciated in
1704,film,critical south korea,was
1705,bollywood films,former soviet russian,are popular
1706,bollywood films,often gazeta wyborcza,covered in
1707,indian  movies,new youth culture,permitted
1708,padmashree laloo prasad yadav,south africa,filmed in
1709,kishore kumar,amitabh  egypt,been popular
1710,commercial bollywood films,elsewhere north africa,screened
1711,many bollywood films,commercially united kingdom,been
1712,se,indian uk top ten,was
1713,bollywood,also  france,appreciated in
1714,small bollywood writers,rushed production schedules,known
1715,copying,everywhere  india,is endemic
1716,tv shows,american  programmes,are
1717,we,films,want
1718,he,religious  songs,respect
1719,bollywood soundtracks,guinean singer mory kanté,plagiarised guinean
1720,term,bombay,is
1722,however  colour,late  1950s,become
1723,romantic  musicals,time,were cinematic
1724,playback singers,rafi,mohammed
1725,masala films,biggest bollywood period,bachchan
1726,popular  films,decade,were
1729,songs,three hour show,combined in
1730,parallel cinema films,less box office,tended
1733,song  lyrics,different  people,written by different
1734,film scripts,first latin script,written in
1735,cinematic  language,often  god,is
1736,song lyrics,often  love,are
1737,bollywood songs,ardeshir alam ara song,introduced with ardeshir
1738,contemporary bollywood dancers,madhuri dixit,include
1739,older  dancers,helen,include
1740,consumer copying,problem,adds to
1741,popular  tune,audiences,believed
1742,bollywood,other  products,used
1743,dual voting system,1956,developed in
1744,national film awards,also  1954,introduced in
1745,many  pakistanis,linguistic  similarity,understand
1746,more  easing,2009,followed in
1747,popular  actors,shah rukh khan,include
1748,films,fairly  thailand,are
1749,bollywood films,widely  china,appreciated in
1750,film,critical south korea,was
1751,bollywood films,former soviet russian,are popular
1752,bollywood films,often gazeta wyborcza,covered in
1753,indian  movies,new youth culture,permitted
1754,padmashree laloo prasad yadav,south africa,filmed in
1755,kishore kumar,amitabh  egypt,been popular
1756,commercial bollywood films,elsewhere north africa,screened
1757,many bollywood films,commercially united kingdom,been
1758,se,indian uk top ten,was
1759,bollywood,also  france,appreciated in
1760,small bollywood writers,rushed production schedules,known
1761,copying,everywhere  india,is endemic
1762,tv shows,american  programmes,are
1763,we,films,want
1764,he,religious  songs,respect
1765,bollywood soundtracks,guinean singer mory kanté,plagiarised guinean
1766,musafir,2013 pramod rahman,is
1767,film,cyprus,shot in
1768,it,1881,commercialized since
1771,originally asa values,standard speed numbers,referred to
1772,gost,gost film speed 2817,was
1773,iso system,arithmetic,defines
1775,200/24  °,rated iso °,is
1776,exposure index,simply speed rating,called
1777,film,ei,exposed at
1778,based  techniques,rarely consumer digital,used for
1779,possible  that,clipped camera output,is
1780,how speed ratings,camera,specifies
1781,however  loss,rather image grain,is visible
1782,universal  studios,carl laemmle,founded by
1783,eventually  all,laemmle,bought
1784,disney,return,released
1785,relatives,supposedly  payroll,were
1786,dracula,them,are
1787,teenage singer deanna durbin,smart  girls,starred in
1788,film,financial box office problems,was
1789,new  combine,one united world year,was
1790,goetz,ambitious  schedule,set
1791,production arm,studio,struggled
1792,it,french film productions,involved in
1793,late motion picture business,late  1950s,changing
1795,2016  deal,august,completed
1796,‡,theatrical  reissue,includes theatrical
1797,universal  studios,carl laemmle,founded by
1798,eventually  all,laemmle,bought
1799,disney,return,released
1800,relatives,supposedly  payroll,were
1801,dracula,them,are
1802,teenage singer deanna durbin,smart  girls,starred in
1803,film,financial box office problems,was
1804,new  combine,one united world year,was
1805,goetz,ambitious  schedule,set
1806,production arm,studio,struggled
1807,it,french film productions,involved in
1808,late motion picture business,late  1950s,changing
1810,2016  deal,august,completed
1811,‡,theatrical  reissue,includes theatrical
1812,film criticism,films,is
1813,film,19th  century,introduced in
1814,numerous rating systems,4  scales,exist
1815,others,religious  perspective,focus on
1816,such  example,stupid movie intuitor,is
1817,film critics,academic film background,have
1818,academic film critics,andré bazin,include
1819,2013 film critics,"$  82,000",make
1820,newspaper  critics,"$  27,364-$49,574",make
1821,bafta award trophy,sculptor mitzi cunliffe,is
1822,8  mask,16  cm,measures
1823,they,annually  1954,awarded
1824,ever  ceremony,six  categories,consisted of
1825,they,annually  1969,awarded
1826,authors,terms,resisted
1827,novels,crime films,adapted as
1828,noir neo films,independent  features,produced as independent
1829,noir,often  critics,rejected by
1830,authors,terms,resisted
1831,novels,crime films,adapted as
1832,noir neo films,independent  features,produced as independent
1833,noir,often  critics,rejected by
1834,he,yahaan,directed
1835,he,2012 film aparajita tumi,produced
1836,he,independent  films,known for
1837,tumi,adapted naari haatey torobaari,is
1838,he,yahaan,directed
1839,he,2012 film aparajita tumi,produced
1840,he,independent  films,known for
1841,tumi,adapted naari haatey torobaari,is
1842,commercially photography reversal process,lumière 1907,was
1843,digital  media,gradually transparency film,replaced
1844,color reversal film,today e-6 process,developed with
1845,polaroid,instant slide film,produced
1846,black  projection,rarely motion pictures,done
1847,black reversal films,less color reversal films,are
1848,finished  transparencies,frequently  projection,displayed by
1849,slash,american clay liford,is
1850,film,michael johnston,stars
1851,sound cameras,silent  cartridges,are compatible
1852,therefore single-8 film cartridges,only single-8 cameras,used in single-8
1853,additive  picture,additive  process,be
1854,8  film,8 size sprockets,is
1855,this,8 film kit,is
1856,8  mm,optical sound track,specified with
1857,these,200  ft,edited
1858,super  8,widely home movies,used for
1859,super  8,theatrical  features,become
1860,internacional de cinema super8,11th  year,is in
1861,jfk,oliver thriller stone,is
1862,film,controversy,embroiled in
